finance_id,employee_id,department,payroll_cost,overtime_cost,productivity_cost_ratio
1,1001,Finance,177309,26008.5,1.15
2,1002,Finance,31150,4042.82,1.13
3,1003,HR,170820,14930.12,1.13
4,1004,Finance,52548,6131.87,0.82
5,1005,Sales,160474,21010.84,1.23
6,1006,Operations,45380,4054.61,1.02
7,1007,Technology,109167,15931.07,1.21
8,1008,Operations,109648,13439.4,1.19
9,1009,Technology,173524,23480.57,1.27
10,1010,Technology,38445,4361.44,1.06
11,1011,Technology,64682,12889.27,1.24
12,1012,Customer Support,36489,4317.66,1.16
13,1013,Customer Support,25227,4403.37,0.72
14,1014,Technology,36680,3365.58,1.22
15,1015,Finance,175408,13253.33,1.23
16,1016,HR,50440,4634.3,0.9
17,1017,HR,119092,22317.47,1.04
18,1018,Compliance,34616,5749.86,1.29
19,1019,Operations,162548,11043.11,0.83
20,1020,Sales,63273,8455.76,1.11
21,1021,Customer Support,28293,5309.81,0.92
22,1022,Finance,99181,8692.11,0.84
23,1023,HR,83844,9698.66,0.78
24,1024,Compliance,31396,3925.46,1.17
25,1025,Operations,37804,3232.02,1.14
26,1026,Sales,125643,18969.87,0.76
27,1027,Operations,137959,12463.02,1.04
28,1028,Sales,151964,21540.39,1.0
29,1029,Technology,134434,8912.69,1.25
30,1030,Operations,62325,4481.72,0.83
31,1031,Operations,25635,3500.41,1.06
32,1032,Sales,113778,21109.62,1.15
33,1033,Compliance,84742,4648.07,1.1
34,1034,Finance,33063,2191.41,1.04
35,1035,Sales,45721,6616.66,0.8
36,1036,HR,192058,10582.59,1.2
37,1037,Sales,151616,7739.02,1.21
38,1038,Sales,106204,17063.18,1.3
39,1039,HR,63143,10009.25,1.12
40,1040,Compliance,69034,8165.89,1.0
41,1041,Customer Support,31212,3484.37,1.05
42,1042,Compliance,69695,9919.8,1.16
43,1043,Sales,38912,5929.53,1.26
44,1044,Operations,35356,3496.69,1.13
45,1045,Compliance,108059,14648.25,0.8
46,1046,Operations,116220,12731.81,1.02
47,1047,Technology,48717,7517.36,1.12
48,1048,HR,154157,20928.78,1.25
49,1049,HR,106343,15675.56,1.1
50,1050,Sales,39794,3468.69,0.91
51,1051,Compliance,76587,10208.9,1.26
52,1052,Operations,166197,15899.82,1.29
53,1053,Sales,29707,2802.25,0.82
54,1054,Finance,59250,5407.35,1.09
55,1055,Compliance,103500,14448.52,1.12
56,1056,Technology,57848,6234.56,1.18
57,1057,Sales,36022,5290.4,1.02
58,1058,HR,199438,31751.25,0.84
59,1059,Customer Support,117154,6315.75,1.02
60,1060,Compliance,29959,4628.43,1.16
61,1061,Finance,84926,16569.63,1.04
62,1062,Technology,76479,10541.28,1.28
63,1063,HR,50625,7459.89,1.11
64,1064,Finance,101478,18543.19,0.72
65,1065,Sales,190521,25801.94,1.22
66,1066,Sales,177672,14776.15,0.7
67,1067,Technology,118035,18926.96,0.77
68,1068,HR,109967,15466.63,1.08
69,1069,Sales,82024,14877.75,1.28
